category,price_elasticity,p_value,r_squared,n_obs,significant,avg_price,total_sales,avg_review,avg_freight,cluster,cluster_name
watches_gifts,-3.060168051885029,6.207221465505173e-06,0.7714728601125799,20,True,130.7075,5618,4.107420996950385,15.682500000000001,1,Volume Leaders
industry_commerce_and_business,-2.3171279626311687,0.005654331001661973,0.6579978058064655,18,True,104.0,259,4.213245469916474,23.0825,0,Heavy-Freight Specialists
electronics,-2.002467825843067,0.00020215143168911403,0.6763956319402706,20,True,27.4,2635,4.103588105888243,15.1,1,Volume Leaders
auto,-1.9407039261409267,0.002192581922306208,0.6289061774506904,20,True,91.05,4120,4.115765002764518,17.8175,1,Volume Leaders
furniture_living_room,-1.8819332092117178,0.0058492249088563045,0.4848742467849999,20,True,106.945,443,3.9958454887016592,28.43,0,Heavy-Freight Specialists
garden_tools,-1.294904543617292,0.011367069447119916,0.5892281478468253,20,True,59.9,4196,4.130814016961844,17.67,1,Volume Leaders
home_confort,-1.2693124999166132,0.16036915790087844,0.3681253253214881,19,False,89.9,429,3.861528028665026,17.255,3,Conversion Risk
computers,-1.1871102326483047,0.1022815096092537,0.3813309030371337,13,False,849.99,198,4.269141273071039,42.51,0,Heavy-Freight Specialists
office_furniture,-1.1847614412432743,0.3904200545801486,0.5257150696136457,20,False,144.965,1655,3.5893074545827934,33.93,0,Heavy-Freight Specialists
construction_tools_lights,-1.1252023962528725,0.2559453011212506,0.4782863283431167,14,False,174.5,300,3.8762869880464272,24.97,0,Heavy-Freight Specialists
books_technical,-1.0080698400868142,0.015104045607576333,0.544519236490606,19,True,72.95,263,4.434030068145905,15.65,2,Quality Niche
home_appliances,-0.968926028227051,0.1583860853690054,0.22800638569386,19,False,48.95,750,4.265603881146644,16.015,2,Quality Niche
air_conditioning,-0.8288694753504731,0.02695961851280142,0.4483390003501553,20,True,147.45,281,4.04415104183966,18.6625,3,Conversion Risk
home_construction,-0.772220993690528,0.19401159282778396,0.4805587292164816,19,False,91.0,596,4.053566709483014,16.64,3,Conversion Risk
stationery,-0.7332695724064562,0.47668424423237266,0.4569809069431576,20,False,75.67500000000001,2451,4.305938779719513,16.14,1,Volume Leaders
books_general_interest,-0.7048176407347593,0.06967299521675942,0.3772969971359804,20,False,46.95,535,4.541733634426219,16.2725,2,Quality Niche
drinks,-0.6385355686081838,0.6193437878984027,0.3019275441018888,17,False,49.99,361,4.236106542127439,15.1,2,Quality Niche
musical_instruments,-0.6095877536670193,0.04935433350494116,0.5586868190838539,20,True,104.4,650,4.1540604184072505,18.1,1,Volume Leaders
books_imported,-0.5457161103730253,0.1265324761957629,0.4328687948470994,14,False,70.0,56,4.35765306122449,10.9075,2,Quality Niche
consoles_games,-0.5326027709660645,0.013433096633619704,0.5058443987953642,20,True,56.245000000000005,1078,4.1526354973448125,15.59,1,Volume Leaders
construction_tools_safety,-0.5292006783200037,0.3655962965270181,0.33345044957610714,14,False,141.89499999999998,183,3.814081632653061,16.41,3,Conversion Risk
costruction_tools_garden,-0.479613475602369,0.06411697525208417,0.5249870910560347,18,False,51.245000000000005,232,4.210359824650106,18.23,2,Quality Niche
christmas_supplies,-0.47645859439330096,0.14281953516742285,0.6130407195300143,16,False,35.0,150,4.347385687229437,17.950000000000003,2,Quality Niche
cine_photo,-0.47585579599864036,0.051675683445683324,0.6989977955758642,15,False,69.0,70,4.242075223251693,20.43,2,Quality Niche
fashion_male_clothing,-0.45163381676823366,0.13335562463958525,0.7170716358961846,19,False,68.42500000000001,124,4.085489291410344,16.18,3,Conversion Risk
costruction_tools_tools,-0.3762020718754371,0.14438712962302883,0.5096978255734854,14,False,52.9225,103,4.548225957049486,17.985,2,Quality Niche
small_appliances,-0.3455043261047548,0.1560213750032704,0.4250037780911383,20,False,110.39750000000001,658,4.241044141323977,17.9775,1,Volume Leaders
furniture_bedroom,-0.3175241849029127,0.24957855603220655,0.2501458444274067,19,False,185.0,103,4.287928153717627,42.84,0,Heavy-Freight Specialists
fashion_sport,-0.3160843029581045,0.44907606660511434,0.20084754121866077,14,False,59.9,28,4.4071428571428575,13.3275,2,Quality Niche
perfumery,-0.30688096982440616,0.3697893603894782,0.42991575687994943,20,False,79.72,3296,4.25632393634931,15.197500000000002,1,Volume Leaders
pet_shop,-0.26378091387351676,0.6412985588445396,0.7474718970471298,20,False,89.945,1899,4.203495588661165,16.405,1,Volume Leaders
signaling_and_security,-0.2312100009026538,0.5262941099673881,0.17976847438550236,18,False,109.61,194,3.9089137182527987,17.335,3,Conversion Risk
cool_stuff,-0.1777102975995999,0.8500827901985406,0.3325981905667579,20,False,122.495,3667,4.195969132146303,17.435000000000002,1,Volume Leaders
housewares,-0.12713216972876218,0.8745149456454612,0.6514923843440632,20,False,58.9,6765,4.1123696742273665,16.119999999999997,1,Volume Leaders
food,-0.10051967968107761,0.8073330555204827,0.3979840761373865,20,False,49.230000000000004,495,4.312837945709126,13.219999999999999,2,Quality Niche
fixed_telephony,-0.09955666130461427,0.49270713681331557,0.2287010702187806,20,False,80.0,249,3.7451709524135994,15.192499999999999,3,Conversion Risk
agro_industry_and_commerce,-0.08576222568309556,0.6731697474743081,0.2329431385909314,19,False,319.0,206,3.9318827473952127,21.89,0,Heavy-Freight Specialists
fashion_bags_accessories,-0.05599159881934668,0.9813702496824991,0.48762266464659987,20,False,49.45,1969,4.2465145577198475,15.1,1,Volume Leaders
party_supplies,-0.024293656194923713,0.9018320107054043,0.38496235316442784,12,False,69.4,42,3.7460317460317456,16.965,3,Conversion Risk
dvds_blu_ray,-0.014574301767129455,0.8977408929558007,0.22147516451898452,20,False,21.15,61,4.261071428571428,17.705,2,Quality Niche
market_place,0.032639936834537045,0.9114700322823096,0.26047609573506103,20,False,62.8,294,4.053799406778442,15.31,3,Conversion Risk
home_comfort_2,0.033199425806939215,0.8656650299356071,0.22141690786944646,14,False,12.9,30,3.6785714285714284,14.405000000000001,3,Conversion Risk
music,0.08306902102065394,0.8535253856305787,0.20634470820678408,14,False,61.900000000000006,38,4.289285714285714,15.9025,2,Quality Niche
audio,0.08480089827055903,0.7127058465570408,0.07748321458348939,19,False,89.0,359,3.8660675583186843,15.1,3,Conversion Risk
furniture_decor,0.16663223618057765,0.8600647147216628,0.443811725316442,20,False,59.9,7979,3.9898556417746405,16.11,1,Volume Leaders
bed_bath_table,0.27307570512058277,0.8645933213797974,0.4203705407363165,20,False,78.945,10901,3.990865141337963,16.15,1,Volume Leaders
fashion_underwear_beach,0.32410125072567997,0.09411319876332153,0.24801535656489138,20,False,57.4,127,3.956394230769231,14.8125,3,Conversion Risk
food_drink,0.3471535293748129,0.3420140350188806,0.5049618646180083,18,False,34.56,269,4.3645377699654855,16.5,2,Quality Niche
kitchen_dining_laundry_garden_furniture,0.3812362747798621,0.4492527305285281,0.25983781341270795,20,False,91.4,273,4.148800032204638,28.847499999999997,0,Heavy-Freight Specialists
fashion_shoes,0.5532099357731238,0.20068020557117555,0.3439944929252088,20,False,84.9,255,4.3433998394181454,17.65,2,Quality Niche
fashio_female_clothing,0.5606449776117897,0.0026537114574993253,0.796510979106873,15,True,51.95,44,3.7333333333333334,12.755,3,Conversion Risk
home_appliances_2,0.5974965568030941,0.005399441159313115,0.6467134392222409,20,True,214.2225,230,4.085826211355387,34.085,0,Heavy-Freight Specialists
construction_tools_construction,0.6892912106262208,0.6784199512587767,0.2908242239066847,18,False,89.3725,909,4.150637858217092,16.8575,1,Volume Leaders
art,0.7112851034528725,0.16591178319081806,0.37655362696126027,18,False,87.4,197,4.21953823514711,15.5975,2,Quality Niche
telephony,0.7927627907439354,0.1749998778848272,0.5213847133358063,20,False,29.9625,4394,4.051245731718943,15.1,1,Volume Leaders
tablets_printing_image,0.8297805960132048,0.19106344842342401,0.1985477943859859,17,False,99.0,83,4.226212023270847,14.8,2,Quality Niche
luggage_accessories,0.9574190220655128,0.23316020425115153,0.5409774559023266,20,False,100.2425,1073,4.38974056351347,17.945,1,Volume Leaders
toys,0.994813364810712,0.28576213708329223,0.28392861639753886,20,False,77.4475,3971,4.258735593912719,15.9375,1,Volume Leaders
baby,1.0006703545910702,0.07643776931001037,0.6526881168472535,20,False,71.995,2962,4.122958868411091,16.57,1,Volume Leaders
health_beauty,1.244052273945326,0.25986772485277154,0.6179834901230733,20,False,79.45,9392,4.191447921163939,15.629999999999999,1,Volume Leaders
computers_accessories,1.735951745978015,0.0030804561174500897,0.6685419755635968,20,True,79.9,7610,4.066420002624538,15.895,1,Volume Leaders
sports_leisure,2.45005727491135,0.09665119340265284,0.3400968507372423,20,False,72.9,8397,4.208389739822321,16.155,1,Volume Leaders
